0	3
1	2
2	2
3	2
4	1
5	1
6	3
7	3
8	0
9	3
10	2
11	0
12	1
13	0
14	2
15	6
16	0
17	1
18	1
19	1
20	1
21	0
22	0
23	4
24	1
25	1
26	5
27	1
28	4
29	0
30	6
31	0
32	1
33	0
34	1
35	4
36	6
37	1
38	6
39	0
40	2
41	1
42	2
43	2
44	4
45	4
46	0
47	0
48	0
49	5
50	5
51	1
52	2
53	7
54	4
55	3
56	0
57	0
58	3
59	6
60	5
61	5
62	7
63	0
64	5
65	4
66	9
67	1
68	1
69	0
70	3
71	1
72	4
73	1
74	5
75	1
76	5
77	5
78	2
79	1
80	3
81	0
82	0
83	3
84	2
85	0
86	1
87	1
88	4
89	1
90	2
91	0
92	3
93	2
94	1
95	0
96	2
97	1
98	1
99	3
100	4
101	1
102	0
103	1
104	2
105	4
106	3
107	3
108	0
109	1
110	2
111	4
112	2
113	2
114	4
115	0
116	4
117	2
118	3
119	9
120	4
121	3
122	2
123	7
124	0
125	5
126	5
127	3
128	0
129	0
130	2
131	5
132	2
133	3
134	0
135	9
136	0
137	2
138	3
139	1
140	7
141	1
142	1
143	2
144	1
145	2
146	2
147	0
148	1
149	5
150	3
151	4
152	4
153	0
154	0
155	0
156	3
157	2
158	0
159	0
160	0
161	1
162	1
163	3
164	1
165	3
166	5
167	8
168	0
169	5
170	0
171	0
172	2
173	1
174	2
175	0
176	6
177	1
178	2
179	2
180	0
181	1
182	0
183	3
184	0
185	0
186	0
187	1
188	5
189	3
190	4
191	0
192	2
193	2
194	0
195	0
196	1
197	4
198	0
199	2
200	2
201	5
202	3
203	8
204	1
205	3
206	2
207	1
208	2
209	1
210	2
211	1
212	2
213	2
214	0
215	4
216	5
217	1
218	4
219	1
220	2
221	0
222	3
223	6
224	1
225	0
226	4
227	1
228	5
229	0
230	1
231	5
232	1
233	2
234	8
235	2
236	3
237	6
238	1
239	0
240	2
241	0
242	4
243	3
244	0
245	6
246	3
247	2
248	3
249	1
250	3
251	0
252	3
253	1
254	1
255	2
256	4
257	1
258	0
259	2
260	2
261	0
262	1
263	0
264	1
265	6
266	1
267	8
268	0
269	4
270	3
271	0
272	3
273	1
274	1
275	2
276	0
277	6
278	3
279	1
280	1
281	2
282	1
283	1
284	8
285	0
286	2
287	2
288	0
289	0
290	2
291	2
292	0
293	0
294	1
295	1
296	2
297	1
298	1
299	0
300	0
301	1
302	2
303	5
304	0
305	0
306	1
307	4
308	1
309	1
310	3
311	2
312	2
313	0
314	1
315	1
316	7
317	1
318	2
319	2
320	4
321	2
322	3
323	2
324	1
325	3
326	5
327	2
328	0
329	6
330	5
331	0
332	0
333	4
334	2
335	4
336	0
337	2
338	1
339	2
340	2
341	1
342	1
343	3
344	2
345	5
346	1
347	3
348	2
349	5
350	0
351	2
352	1
353	2
354	0
355	6
356	1
357	6
358	1
359	3
360	3
361	4
362	2
363	2
364	0
365	4
366	2
367	0
368	0
369	0
370	0
371	0
372	0
373	5
374	3
375	3
376	4
377	2
378	1
379	0
380	6
381	5
382	5
383	3
384	1
385	0
386	0
387	0
388	0
389	0
390	1
391	0
392	2
393	1
394	0
395	4
396	1
397	5
398	1
399	1
400	2
401	0
402	0
403	1
404	2
405	2
406	3
407	9
408	0
409	0
410	4
411	0
412	1
413	1
414	0
415	0
416	1
417	0
418	0
419	4
420	1
421	2
422	1
423	0
424	2
425	4
426	4
427	4
428	5
429	5
430	0
431	0
432	0
433	3
434	1
435	1
436	3
437	0
438	0
439	0
440	2
441	5
442	1
443	2
444	8
445	0
446	4
447	2
448	1
449	1
450	2
451	1
452	1
453	1
454	2
455	0
456	0
457	0
458	1
459	5
460	4
461	4
462	0
463	0
464	2
465	2
466	2
467	1
468	0
469	3
470	2
471	2
472	0
473	3
474	4
475	7
476	1
477	4
478	0
479	4
480	0
481	2
482	0
483	1
484	0
485	3
486	0
487	4
488	0
489	0
490	5
491	2
492	0
493	3
494	0
495	0
496	5
497	3
498	0
499	0
500	6
501	1
502	0
503	0
